2025-05-03 10:46:51,573 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,583 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,595 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/ingestion.log', wd=1, mask=IN_OPEN, cookie=0, name='ingestion.log'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,596 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation/__pycache__/__init__.cpython-310.pyc', wd=20, mask=IN_OPEN, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,597 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation/__pycache__/__init__.cpython-310.pyc', wd=20, mask=IN_CLOSE_NOWRITE, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,598 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name='generation'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,598 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation', wd=8, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,599 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation', wd=2, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='generation'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,599 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation', wd=8, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,600 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation/__pycache__/generator.cpython-310.pyc', wd=20, mask=IN_OPEN, cookie=0, name='generator.cpython-310.pyc'> - [inotify_buffer.py:52]
